#STEP_FILE ! FILE_SIZE ! MOD_TIME

5444657.step ! 297071 ! 1633521067
LQFP32.stp ! 239576 ! 1630332229
HDMI685119134923.step ! 1557560 ! 1629723539
CM4.step ! 11493981 ! 1629313547
HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.step ! 469045 ! 1629801935
ncs3.step ! 1961094 ! 1636033890
ECS-060-18-20BM-JEN-TR.step ! 184031 ! 1630851391
TO-220F.step ! 184107 ! 1632666340
DS04-254-2-01BK-SMT.step ! 195456 ! 1633522827
IHLP5050FD-5A.step ! 180714 ! 1622385187
PH9572.step ! 177799 ! 1632669474
INS_MCU_BRD.step ! 1673601 ! 1630250170
RP2040_QFN56_04.step ! 6419585 ! 1630937118
0ZCJ0035FF2G.step ! 304428 ! 1630918017
1040310811.step ! 623572 ! 1630597962
ABP Series Leadless SMT LN Wet Media.stp ! 287731 ! 1624178445
tmrc3mm.step ! 44148 ! 1635695633
UDFN10.STEP ! 454963 ! 1630229210
ecx-2236.step ! 241610 ! 1631000753
c-1-1393243-9-d-3d.stp ! 73621 ! 1632825656
TO247-3WHS.step ! 545966 ! 1632413420
